id,year,period,value,footnotes
WPUFD49207,2020,M01,206.8,
WPUFD49207,2020,M02,205.0,
WPUFD49207,2020,M03,201.8,
WPUFD49207,2020,M04,196.1,
WPUFD49207,2020,M05,200.9,
WPUFD49207,2020,M06,202.2,
WPUFD49207,2020,M07,203.3,
WPUFD49207,2020,M08,203.2,
WPUFD49207,2020,M09,203.3,
WPUFD49207,2020,M10,203.8,
WPUFD49207,2020,M11,203.8,
WPUFD49207,2020,M12,204.4,
WPUFD49207,2021,M01,207.6,
WPUFD49207,2021,M02,210.1,
WPUFD49207,2021,M03,213.8,
WPUFD49207,2021,M04,215.1,
WPUFD49207,2021,M05,218.4,
WPUFD49207,2021,M06,221.8,
WPUFD49207,2021,M07,223.455,
WPUFD49207,2021,M08,224.95,
WPUFD49207,2021,M09,227.24,
WPUFD49207,2021,M10,229.686,
WPUFD49207,2021,M11,230.962,
WPUFD49207,2021,M12,229.449,
WPUFD49207,2022,M01,233.941,
WPUFD49207,2022,M02,238.956,
WPUFD49207,2022,M03,246.495,
WPUFD49207,2022,M04,248.781,
WPUFD49207,2022,M05,255.183,
WPUFD49207,2022,M06,262.394,
WPUFD49207,2022,M07,257.709,
WPUFD49207,2022,M08,253.744,
WPUFD49207,2022,M09,253.501,
WPUFD49207,2022,M10,255.481,
WPUFD49207,2022,M11,255.268,
WPUFD49207,2022,M12,249.919,
WPUFD49207,2023,M01,254.522,
WPUFD49207,2023,M02,253.956,
WPUFD49207,2023,M03,253.942,
WPUFD49207,2023,M04,255.14,
WPUFD49207,2023,M05,252.855,
WPUFD49207,2023,M06,254.316,
WPUFD49207,2023,M07,255.145,
WPUFD49207,2023,M08,258.968,
WPUFD49207,2023,M09,259.348,
WPUFD49207,2023,M10,254.465,
WPUFD49207,2023,M11,252.581,
WPUFD49207,2023,M12,250.17,
WPUFD49207,2024,M01,252.386,
WPUFD49207,2024,M02,256.565,
WPUFD49207,2024,M03,258.58,
WPUFD49207,2024,M04,260.028,
WPUFD49207,2024,M05,258.508,
WPUFD49207,2024,M06,258.556,
WPUFD49207,2024,M07,259.819,
WPUFD49207,2024,M08,259.695,
WPUFD49207,2024,M09,257.36,
WPUFD49207,2024,M10,256.717,
WPUFD49207,2024,M11,257.641,
WPUFD49207,2024,M12,257.077,
WPUFD49207,2025,M01,260.09,
WPUFD49207,2025,M02,262.055,
WPUFD49207,2025,M03,260.649,
WPUFD49207,2025,M04,260.785,
WPUFD49207,2025,M05,261.558,
WPUFD49207,2025,M06,263.435,Preliminary. All indexes are subject to monthly revisions up to four months after original publication.
WPUFD49207,2025,M07,264.775,Preliminary. All indexes are subject to monthly revisions up to four months after original publication.
WPUFD49207,2025,M08,264.677,Preliminary. All indexes are subject to monthly revisions up to four months after original publication.
WPUFD49207,2025,M09,265.811,Preliminary. All indexes are subject to monthly revisions up to four months after original publication.
